ID,pertanyaan,ifyes,ifno,id_gangguan,id_solusi
1,Apakah Anda merasa mata menonjol ?,2,4,G1,
2,Apakah Anda merasa pada siang hari penglihatan menurun ?,3,4,G2,
3,Apakah Anda merasa tidak dapat melihat pada lingkungan yang kurang bercahaya ?,25,4,G3,
4,Apakah Anda merasa mata nyeri hebat ?,5,11,G4,
5,Apakah Anda merasa mata merah ?,6,11,G5,
6,Apakah Anda merasa kelopak mata membengkak ?,7,11,G6,
7,Apakah Anda merasa demam ?,8,11,G7,
8,Apakah Anda merasa pergerakan mata terbatas ?,9,11,G8,
9,Apakah Anda merasa mata tampak mengkilat ?,10,11,G9,
10,Apakah Anda merasa bola mata membengkak dan tampak berkabut ?,26,11,G10,
11,Apakah Anda merasa mata sakit ?,12,16,G11,
12,Apakah Anda merasa menekan kedipan berlebihan ?,13,16,G12,
13,Apakah Anda merasa sumber cahaya akan berwarna pelangi bila memandang lampu neon ?,14,16,G13,
14,Apakah Anda merasa penglihatan yang tadinya kabur lama- kelamaan menjadi normal ?,15,16,G14,
15,Apakah Anda merasa mata membengkak ?,27,16,G15,
16,Apakah Anda merasa penglihatan kabur ?,17,21,G16,
17,Apakah Anda merasa malam hari kesulitan melihat ?,18,21,G17,
18,Apakah Anda sering ganti kacamata ?,19,21,G18,
19,Apakah Anda merasa penglihatan ganda pada salah satu sisi mata ?,20,21,G19,
20,Apakah Anda merasa lensa mata membengkak ?,28,21,G20,
21,Apakah Anda merasa peka terhadap cahaya ?,22,0,G21,
22,Apakah Anda merasa mata berair ?,23,0,G22,
23,Apakah Anda merasa mata gatal ?,24,0,G23,
24,Apakah Anda merasa berbentuk keropeng pada kelopak mata ketika bangun pada siang hari ?,29,0,G24,
25,Xerophtalmania,0,0,G25,R1
26,Selulitis Orbitalitas,0,0,G26,R2
27,Glaukoma,0,0,G27,R3
28,Katarak,0,0,G28,R4
29,Konjungtivitis,0,0,G29,R5
30,Data Tidak Ditemukan,0,0,G30,0
